festival_name,event_start_date,event_end_date,season,max_ratio,mean_ratio,max_date,data_points
가락몰 빵축제 전국빵지자랑,2025-05-09,2025-05-11,봄,100.0,13.41,2025-05-11,51
가락옥토버페스트 캠핑축제,2024-10-10,2024-10-12,가을,100.0,14.94,2024-10-10,20
가야문화축제,2025-04-10,2025-04-13,봄,100.0,9.76,2025-04-11,64
가파도청보리축제,2025-04-04,2025-05-06,봄,100.0,36.99,2025-04-06,93
가평 양떼목장 수국축제,2025-06-27,2025-10-31,여름,100.0,33.48,2025-10-08,126
가평 양떼목장 유채꽃축제,2025-05-25,2025-06-19,봄,100.0,44.98,2025-06-14,21
가평군 반려동물 문화행사 활짝펫,2025-06-07,2025-06-07,여름,100.0,6.69,2025-06-07,32
감악산 꽃별 여행,2025-09-19,2025-10-12,가을,100.0,21.16,2025-10-07,81
감악산 해맞이 행사,2025-01-01,2025-01-01,겨울,100.0,8.24,2025-01-01,34
강남역 케미스트릿 페스티벌,2024-10-02,2024-10-03,가을,100.0,12.33,2024-10-03,15
강남청년축제,2025-09-19,2025-09-19,가을,100.0,5.68,2025-09-19,24
강동선사문화축제,2025-10-17,2025-10-19,가을,100.0,7.19,2025-10-19,57
강릉 국가유산 야행,2025-08-14,2025-08-16,여름,100.0,8.4,2025-08-15,61
강릉단오제,2025-05-27,2025-06-03,봄,100.0,14.97,2025-05-31,68
강릉비치비어페스티벌,2025-06-27,2025-06-29,여름,100.0,7.39,2025-06-27,61
강릉시 반려동물문화축제,2024-10-19,2024-10-19,가을,100.0,9.34,2024-10-19,28
강릉커피축제,2025-10-30,2025-11-02,가을,100.0,14.73,2025-11-01,45
강릉페스티벌,2024-11-01,2024-11-03,가을,100.0,26.79,2024-11-02,28
강릉해양레저 펫가족 힐링페스티벌,2025-06-07,2025-06-08,여름,100.0,12.37,2025-06-07,30
강북 공예문화축제,2024-11-08,2024-11-09,가을,100.0,14.28,2024-11-09,22
강북구 어린이날 대축제,2025-05-03,2025-05-03,봄,100.0,7.56,2025-05-03,28
강북청소년축제 강추,2025-09-27,2025-09-27,가을,100.0,12.97,2025-09-27,12
강서 아이들 까치까치 페스티벌,2025-05-24,2025-05-24,봄,100.0,9.54,2025-05-24,17
강서구 다문화축제,2025-05-24,2025-05-24,봄,100.0,10.51,2025-05-24,23
강서봄빛페스타,2025-04-12,2025-04-12,봄,100.0,7.6,2025-04-12,48
강서어린이 동화축제,2025-05-03,2025-05-03,봄,100.0,7.47,2025-05-03,43
강원n 홍천 산나물축제,2025-05-03,2025-05-05,봄,100.0,9.28,2025-05-04,56
강원관광두레 팝업스토어,2025-02-04,2025-02-12,겨울,100.0,42.86,2025-02-05,9
강원로컬페스타,2024-11-15,2024-11-16,가을,100.0,35.5,2024-11-15,7
강원한우데이,2025-06-13,2025-06-15,여름,100.0,12.62,2025-06-14,29
강정마을 생태축제,2025-06-13,2025-06-15,여름,100.0,19.14,2025-06-14,40
강주해바라기 축제,2025-06-18,2025-07-06,여름,100.0,22.08,2025-06-29,79
강진 전라병영성축제,2025-04-18,2025-04-20,봄,100.0,10.92,2025-04-19,28
강진수국길축제,2025-06-27,2025-06-29,여름,100.0,13.65,2025-06-28,61
강천섬 힐링 문화축제,2024-10-25,2024-10-27,가을,100.0,9.28,2024-10-26,31
강콘페스타,2024-10-04,2024-10-06,가을,100.0,11.64,2024-10-04,48
강화 길상 빙어 축제,2024-12-25,2025-03-28,겨울,100.0,36.76,2025-03-08,47
강화 별밤 야행,2025-09-05,2025-09-06,가을,100.0,6.14,2025-09-05,62
강화 양오 빙어축제,2024-12-21,2025-03-03,겨울,100.0,36.92,2024-12-24,88
강화도왕방마을얼음축제,2024-12-25,2025-03-03,겨울,100.0,31.42,2025-01-11,113
개발협력주간,2024-11-03,2024-11-06,가을,100.0,15.88,2024-11-04,30
거문도백도 은빛바다체험행사,2025-08-01,2025-08-02,여름,100.0,7.38,2025-08-01,47
거제 옥포대첩 축제,2025-06-13,2025-06-15,여름,100.0,10.46,2025-06-15,55
거제대구수산물축제,2024-12-21,2024-12-22,겨울,100.0,8.1,2024-12-21,62
