addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,mapx,mapy,mlevel,modifiedtime,sigungucode,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,firstimage,firstimage2,cpyrhtDivCd,tel,contentid_2,contenttypeid_2,title_2,createdtime_2,modifiedtime_2,homepage,areacode_2,sigungucode_2,lDongRegnCd_2,lDongSignguCd_2,lclsSystm1_2,lclsSystm2_2,lclsSystm3_2,cat1_2,cat2_2,cat3_2,addr1_2,addr2_2,zipcode_2,mapx_2,mapy_2,mlevel_2,overview,firstimage_2,firstimage2_2,cpyrhtDivCd_2,tel_2,telname,contentid_3,contenttypeid_3,usefee,infocenterculture,usetimeculture,restdateculture,parkingfee,parkingculture,chkcreditcardculture,chkbabycarriageculture,spendtime,accomcountculture,scale,chkpetculture,discountinfo,체험프로그램,예약안내,대관안내,한국어 안내서비스,소장품현황,사업내용,외국어 안내서비스,외국인 예약안내,입 장 료,주차요금,이용가능시설,화장실,관 람 료,한국어 안내서비스_2,외국인 체험가능 프로그램,시설이용료,예약안내_2,소장품현황_2
충청남도 공주시 당간지주길 10 (반죽동),(반죽동),34,A02,A0206,A02061000,2750143,14,2.02109E+13,127.121975,36.45211877,6,2.02503E+13,1,가가책방,32549,44,150,VE,VE12,VE120100,,,,,2750143,14,가가책방,2.02109E+13,2.02503E+13,https://blog.naver.com/captaindrop,34,1,44,150,VE,VE12,VE120100,A02,A0206,A02061000,충청남도 공주시 당간지주길 10 (반죽동),(반죽동),32549,127.121975,36.45211877,6,"조용하고 고즈넉한 골목길에 자리 잡은 가가책방은 아담하고 포근한 아지트 느낌이 가득한 곳으로 남녀노소 누구나 편안한 시간을 책과 함께 보낼 수 있는 책방이다. 필요가 없어져 버려진 가구를 다시 사용하고, 버려진 목재를 이용하여 책방지기가 직접 책방을 만들어냈다. 가가책방은 DIY와 업사이클링, 리사이클링을 통해 작은 도시를 아카이빙 하고 있는 공간이라 할 수 있다. 1인 5,000원의 입장료를 내야 한다.",,,,,,2750143,14,"1인 5,000원",010-9403-4982,05:00~24:00,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 종로구 평창30길 28,(평창동),1,A02,A0206,A02060500,129854,14,2.00711E+13,126.9751811,37.61220999,6,2.02507E+13,23,가나아트센터,3004,11,110,VE,VE07,VE070600,http://tong.visitkorea.or.kr/cms/resource/11/3506711_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3506711_image3_1.jpg,Type1,,129854,14,가나아트센터,2.00711E+13,2.02507E+13,http://www.ganaart.com/,1,23,11,110,VE,VE07,VE070600,A02,A0206,A02060500,서울특별시 종로구 평창30길 28,(평창동),3004,126.9751811,37.61220999,6,"가나아트센터는 북한산 자락의 평창동에 위치하고 1983년에 개관한 갤러리이다. 세계적인 건축가 장 미셀 빌모트가 설계하여 2개 층, 3개의 주요 전시장으로 구성되어 있고 야외 공연장, 아카데미홀, 공예관 등의 부대시설을 갖춘 850평 규모이다. 가나아트센터의 전시는 개인 초대전에서 작고 거장의 유작전, 주제 기획전 등 다양한 형식과 장르를 아우르며, 동서를 가로지르고 고금을 꿰뚫는 폭넓은 시야로 고미술과 현대미술 전시 등 통일성과 다양성을 구현해 오고 있으며, 전시기획 및 아카데미강좌 개설 등과 더불어 전시와 연계한 음악, 무용, 연극, 마임 등 타 장르와의 연계 프로젝트 추진을 통해 보다 다양해진 관람객의 문화 향수 욕구에 부응하고자 한다.",http://tong.visitkorea.or.kr/cms/resource/11/3506711_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3506711_image3_1.jpg,Type1,,,129854,14,"3,000원",0507-1494-1482,10:00~19:00,매주 월요일,무료,가능,,,,,,,,,,,,,,,,,,,,,,,,,
전북특별자치도 익산시 가람1길 76 가람문학관,,37,A02,A0206,A02060200,2994669,14,2.02307E+13,127.084495,36.03536023,6,2.02506E+13,9,가람문학관,54520,52,140,VE,VE07,VE070200,http://tong.visitkorea.or.kr/cms/resource/62/2994662_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2994662_image3_1.jpg,Type3,,2994669,14,가람문학관,2.02307E+13,2.02506E+13,,37,9,52,140,VE,VE07,VE070200,A02,A0206,A02060200,전북특별자치도 익산시 가람1길 76 가람문학관,,54520,127.084495,36.03536023,6,"가람 이병기 선생은 익산 출신으로, 우리의 말글과 문화를 지켜내고 시조를 현대적으로 부흥시킨 시조시인이자 국문학자이다. 가람문학관은 이러한 가람 선생의 현대시조 혁신, 국문학 정립, 한글 및 문화 수호 활동 등 수많은 업적과 정신을 기리고 그 가치를 계승하고자 개관하였다. 가람문학관은 익산시민을 포함한 전국의 관람객들을 위한 힐링 공간이자 문화인의 교양 함양 공간이다. 주요 시설로는 가람과 마주하기(영상실), 가람의 시조 음미하기(가람실), 가람의 생애 되짚기(상설전시실), 가람 기억 가져가기(체험실), 천호산 말길(세미나실), 용화산 능둠(휴게실) 등으로 이루어져 있다.",http://tong.visitkorea.or.kr/cms/resource/62/2994662_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2994662_image3_1.jpg,Type3,,,2994669,14,무료,063-832-1891,[3월~10월] 09:00 ~ 18:00 [11월~2월] 09:00 ~ 17:00,매주 월요일 / 신정 / 설날 / 추석,,"가능 (약 소형 50대, 대형 10대)요금(무료)",불가,,,,,,,"현대시조 창작, 시조 컬러링 색칠하기",단체관람 및 해설 요청은 전화 사전 문의 및 예약 후 가능,"세미나실 대관 예약은 전화 문의 및 예약 후 가능
",,,,,,,,,,,,,,,
서울특별시 종로구 인사동10길 11 (관훈동),,1,A02,A0206,A02060500,129898,14,2.00711E+13,126.9856285,37.5743368,6,2.02507E+13,23,가람화랑,3146,11,110,VE,VE07,VE070600,http://tong.visitkorea.or.kr/cms/resource/36/3505536_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3505536_image3_1.jpg,Type1,,129898,14,가람화랑,2.00711E+13,2.02507E+13,인스타그램 https://www.instagram.com/garamgallery 네이버 블로그 https://blog.naver.com/garamgallery,1,23,11,110,VE,VE07,VE070600,A02,A0206,A02060500,서울특별시 종로구 인사동10길 11 (관훈동),,3146,126.9856285,37.5743368,6,"가람화랑은 근대미술을 재조명하는 전시를 시작으로 개관하였다. 전문미술인이 경영하는 화랑으로서 형상미술을 위주로 하는 작가들을 중심으로 기획전과 초대전을 개최하고 있다. 근현대미술의 수준 높은 주요 작품들이 전시, 판매되고 있으며, 특히 구상성 짙은 작품들을 용이하게 관람할 수 있다. 인사동이라는 대중과의 원활한 접촉이 이루어지는 지리적 조건을 갖추고 있어 초보 컬렉터들도 작품 감상 및 작품 컬렉션에 관한 자문을 구할 수 있다.",http://tong.visitkorea.or.kr/cms/resource/36/3505536_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3505536_image3_1.jpg,Type1,,,129898,14,무료,02-732-6170,화요일~토요일 10:00~17:00,매주 일요일~월요일 / 법정공휴일 / 임시공휴일,,불가능,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 과천시 새빛로 24 (문원동),,31,A02,A0206,A02060500,2714751,14,2.02104E+13,126.9992398,37.42400728,6,2.02503E+13,3,가원미술관,13826,41,290,VE,VE07,VE070600,,,,,2714751,14,가원미술관,2.02104E+13,2.02503E+13,https://www.instagram.com/gallerycafe_gawon/,31,3,41,290,VE,VE07,VE070600,A02,A0206,A02060500,경기도 과천시 새빛로 24 (문원동),,13826,126.9992398,37.42400728,6,"청계산 자락에 위치한 가원미술관은 3개의 전시관, 갤러리카페, 자연스럽고 편안한 정원이 있는 미술관으로 전시뿐아니라 모임, 웨딩, 음악회, 드라마 촬영 등 다양한 행사가 가능한 복합 공간이다. 지하 1층에는 수채화 및 유화 강좌가 열리는 가원아카데미와 아틀리에가 있으며, 1층은 제1전시실과 휴게실, 2층은 제2전시실과 제3전시실, 큐레이터실이 있다. 가원미술관은 가원[佳苑, 아름다운 뜰]이란 이름답게 정원 또한 아름답기로 유명하다.",,,,,,2714751,14,"- 일반 2,000원- 학생 1,000원[무료]- 음료 구매자",02-504-3730,[화요일~금요일] 10:00~18:00 [토요일~일요일] 10:00~19:00  ※ 행사 및 대관으로 영업시간 변동 가능성 있음 (인스타그램 공지 참고),매주 월요일,,가능,없음,없음,,,,,,,,,,,,,,,,,,,,,,,
경상북도 안동시 노동길 16,,35,A02,A0206,A02060900,2997700,14,2.02308E+13,128.5220132,36.57399412,6,2.02503E+13,11,가일서가,36760,47,170,VE,VE09,VE090300,,,,,2997700,14,가일서가,2.02308E+13,2.02503E+13,,35,11,47,170,VE,VE09,VE090300,A02,A0206,A02060900,경상북도 안동시 노동길 16,,36760,128.5220132,36.57399412,6,"가일마을은 안동에 남아 있는 많은 전통마을 중에서도 원형 보존이 잘 된 마을로 약 600여 년의 전통과 오래된 삶의 흔적이 지금의 모습과 잘 조화를 이루는 곳이다. 이곳에 위치한 ’가일서점’은 ’노동서재고택’을 개조한 한옥 북카페 겸 독립서점이다. 한 칸의 방은 서점으로 운영하고 한 칸의 방은 문화공간으로 매월 1회 전시회, 강연 등 내부 프로그램을 운영하고 있다. 무엇보다 대도시에 비해 문화 혜택이 부족한 안동지역 어린이들을 대상으로 ‘나를 쓰다’라는 글쓰기 프로그램을 진행하는데 어린이들의 눈으로 바라보는 세상과 자신의 이야기를 글로 엮어 책으로 출간되는 프로그램이며, 영어책 읽기, 성인 대상의 글쓰기 프로그램도 운영된다. 이 모든 프로그램은 일회성이 아닌 3~5개월 장기 프로그램으로 회원제로 운영된다. ’가일서가’는 안동지역의 글쓰기와 도서문화를 정착시키기 위한 동네 서점과 문화공간으로의 그 역할을 담당하고 있다. 회원제로 운영되기에 방문 시 사전예약을 해야 한다. 인근에는 고택체험 한옥스테이로 유명한 수곡고택, 시습재(병곡종택)와 남천고택, 노동서사가 있고 마을 초입 폐교를 활용한 안동시역사문화박물관을 함께 둘러보기를 권한다.",,,,,,2997700,14,,010-8852-1363,10:00~16:00 (휴게 시간 12:00~13:00),매주 일요일,무료,가능 (약 10대),가능,,1시간,약 25명,,,,,예약 필수,,가능,,,,,,,,,,,,,,
인천광역시 연수구 청량로102번길 40-9,,2,A02,A0206,A02060100,130105,14,2.00607E+13,126.6576044,37.4182241,6,2.02406E+13,8,가천박물관,21942,28,185,VE,VE07,VE070100,,,,032-833-4747,130105,14,가천박물관,2.00607E+13,2.02406E+13,https://www.gachonmuseum.or.kr/,2,8,28,185,VE,VE07,VE070100,A02,A0206,A02060100,인천광역시 연수구 청량로102번길 40-9,,21942,126.6576044,37.4182241,6,"가천박물관은 1995년 10월 문을 연 가천문화재단 부속 박물관으로, 국내 사립박물관 가운데 77번째로 등록된 박물관이다. 가천박물관은 우리나라의 의료생활사와 삼국시대 의료기부터 근현대의 의료기 자료를 한눈에 볼 수 있다. 1층은 의학사료관, 2층은 국보?보물관과 창간호실로 운영 중이다. 박물관 안에는 여러 국가지정문화재를 소장, 전시하고 있다. 대표적인 소장물은 인천 유일의 국보인 [초조본유가사지론 권 제53]이다. 이 소장물은 고려시대 대표적인 불교문화재 가운데 하나로, 불력을 이용해 거란군의 침입을 물리치려 했던 조상들의 정성을 엿볼 수 있는 문화재다. 우리나라에 자생하는 약초를 집대성한 향약집성방의 기초가 되는 [향약제집성방]과 중국에서 전해오는 한의학서를 우리나라 실정에 맞게 편찬한 전문 의학서인 [태산요록] 등 귀중한 보물 13점도 이곳에 소장되어 있다. 이 밖에도 의학 전문 박물관으로 면모를 갖추기 위해 일반 고서 5,200점과 의료, 생활 유물 1,000여점, 근대정부기록 외 국내 최다 소장 창간호 등 2만여 점의 자료를 소장하고 있다. 교육 프로그램으로는 박물관 길위의 인문학, 향낭 만들기, 차 예절 체험, 국보-보물 인경 체험이 있다. 인근에는 인천상륙작전 기념관과 인천광역시립 박물관 등이 위치한다.",,,,032-833-4747,가천박물관,130105,14,무료,032-833-4747,09:00~17:00,"토, 일요일/1월 1일/설 및 추석 연휴",,가능요금(무료),없음,불가,약 1시간,,전시실 429㎡,불가,,"[체험·교육 프로그램]<br>
- 창간호 기획하기, 나의 문화유산 모습담기 등
※ 이외의 체험 프로그램은 홈페이지 참조",단체관람신청 - 전화나 메일로 예약,,단체관람 시 유물 안내 및 현장학습,초조본유가사지론 권 제53(국보) 등,"가천박물관학교 운영, 상설전시 및 특별전시회 의학사관련 연구사업, 연구보고서 간행",영어 표지판,,,,,,,,,,,
서울특별시 종로구 창경궁로 296-12,(혜화동),1,A02,A0206,A02060900,130233,14,2.00711E+13,127.0043348,37.58595801,6,2.02409E+13,23,가톨릭대학교 성신교정도서관,3083,11,110,VE,VE09,VE090300,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image3_1.jpg,Type3,,130233,14,가톨릭대학교 성신교정도서관,2.00711E+13,2.02409E+13,성신교정도서관 http://lib.catholic.ac.kr,1,23,11,110,VE,VE09,VE090300,A02,A0206,A02060900,서울특별시 종로구 창경궁로 296-12,(혜화동),3083,127.0043348,37.58595801,6,"가톨릭대학교 성신교정도서관은 오랜 전통으로 빛나는 신학 전문 도서관이다. 한국 교회를 이끌어 갈 성직자 양성과 가톨릭 교육의 최고 기관의 역할을 다하기 위해서 제반 연구에 필요한 자료를 수집, 보존, 관리하여 교수와 학생들에게 연구 자료에 관한 정보를 제공하고 있다. 총 장서 중 60% 이상이 종교 분야와 그 인접 학문 분야로 구성되어 있다. 도서관은 1995년에 신축한 건물로 지하 1층, 지상 3층의 현대식 건물에 일반도서 및 귀중 도서, 연속간행물, 학위논문 등 장서를 열람할 수 있는 5개의 서고와 참고열람실, 시청각실, 연학실, 전자 정보실, 대출실, 사서실을 갖추고 있다. 1995년 제6회 대한민국 환경문화상 건축 부문 우수상을 받으면서 기능성, 편리성뿐만 아니라 조형성 및 친환경성도 인정받게 되었다.",http://tong.visitkorea.or.kr/cms/resource/38/1894738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image3_1.jpg,Type3,,,130233,14,무료 (학내구성원 이용),성신교정도서관 02-740-9720,[대출반납실] - 학기 중 09:00~17:00 / 방학 중 09:00~16:00 [자료열람실 / 참고열람실 / 복사실 / 시청각실] - 학기 중 08:30~17:30 / 방학 중 08:30~16:30 [연학실] - 학기 중 08:00~22:00 / 방학 중 휴실,주말 및 법정공휴일 / 도서관장이 필요하다고 판단하는 경우,,가능,없음,없음,,,"연건평 1,000 여평(지하 1층, 지상 3층)",,,,,,,,"도서 열람 및 대출, 강좌운영, 독서관련 행사 등",,,,,,,,,,,,
경기도 가평군 가평읍 문화로 131,,31,A02,A0206,A02060600,130220,14,2.00606E+13,127.5085264,37.82424781,6,2.02507E+13,1,가평문화예술회관,12416,41,820,VE,VE06,VE060100,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image3_1.jpg,Type3,,130220,14,가평문화예술회관,2.00606E+13,2.02507E+13,http://www.gpfmc.or.kr,31,1,41,820,VE,VE06,VE060100,A02,A0206,A02060600,경기도 가평군 가평읍 문화로 131,,12416,127.5085264,37.82424781,6,"가평 문화 예술 회관은 가평군의 유일한 극장으로서 지역주민의 문화적 욕구를 충족시키려 노력하고 있다. 이곳은 지하 3층부터 지상 2층까지 총 면적 4천 801㎡ 규모로 1998년 준공되었다. 주요 시설은 대공연장, 다목적 전시실, 야외 공연장, 영사실, 연습실, 관리 사무실, 전기·기계실 등이 갖춰져 있고 대공연장은 641석, 야외공연장은 동시에 250명을 수용할 수 있다. 공연장 도착은 20분 전, 객석 입장은 10분 전에 해야 하고, 사전 협의 없는 사진촬영은 금지하고 있으니 관람 시 주의해야 한다. 건축물 및 무대 기계장치 정밀 안전 진단 결과 하자 보수가 필요함에 따라 2024년 말까지 리모델링 사업을 추진한다. 특히 가평군은 2025년 경기도 체육대회 및 2026년 경기도 생활체육대축전 가평 유치 시, 문예회관이 보디빌딩 대회장으로 사용될 것에 대비해 신속한 개보수를 진행한다는 방침이다.",http://tong.visitkorea.or.kr/cms/resource/34/1589034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image3_1.jpg,Type3,,,130220,14,공연 및 전시별 상이,031-8078-8076,공연 및 전시별 상이,,,가능요금(무료),,,,"대공연장 641석(1층465석,2층176석), 야외음악당 250명","부지면적 : 5135㎡, 건축연면적 : 4801㎡(지상2, 지하2층) 전시면적 : 280.9㎡",,,,홈페이지 및 전화예약,"대관시설 : 공연장, 다목적실, 소회의실, 전시실, 연습실, 야외공연장 등<br>
※ 031-8078-8076~7",,,"문화예술행사, 영화상영, 연극공연",,,,,,,,,,,,
경기도 가평군 가평읍 문화로 121,,31,A02,A0206,A02060700,129877,14,2.00711E+13,127.5086764,37.82390619,6,2.02507E+13,1,가평문화원,12416,41,820,VE,VE09,VE090100,http://tong.visitkorea.or.kr/cms/resource/94/3475694_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/94/3475694_image3_1.JPG,Type3,,129877,14,가평문화원,2.00711E+13,2.02507E+13,http://www.gpc.or.kr,31,1,41,820,VE,VE09,VE090100,A02,A0206,A02060700,경기도 가평군 가평읍 문화로 121,,12416,127.5086764,37.82390619,6,가평문화원은 군민과 함께 전통문화를 발굴하고 육성시키며 문화 예술의 기회 제공을 통한 전승 보존을 활성화하고자 설립하였다. 이를 통해 지역 문화에 대한 인식을 새롭게 하고 우리 고유문화를 지속적으로 계승하고 발전시키고자 하는 곳이다. 문화원에서는 문화 예술교육 사업 지원뿐 아니라 다문화 가족에 대한 문화활동을 지원하고 그 밖에 지역 문화 활성화를 위하여 국가 또는 지방자치단체가 위탁하는 사업을 지원하고 있다. 이곳에서 실시하는 프로그램은 평생교육의 의미를 접목시켜 군민들의 여가를 활용하여 진행하며 잠재적 소질을 계발하고 풍요로운 취미생활을 통하여 일상생활에 활력소를 불어 넣어 질 높은 삶을 운영하는 계기를 마련하고자 한다. 또한 가평지역의 다양한 문화행사를 통하여 가평을 알리고 우리 문화를 알리는데 공헌하고 있다. 문화로 따뜻하고 예술로 빛나게 하는 삶을 지향하는 곳이다.,http://tong.visitkorea.or.kr/cms/resource/94/3475694_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/94/3475694_image3_1.JPG,Type3,,,129877,14,프로그램별 상이,031-582-2016~8,09:00~18:00,주말 /공휴일,,가능요금 (무료),,,,,연면적 7.297㎡,,,,,,,,,,,,,,,,,,,,
