phrase,score
아름다운,1.2
멋진,1.3
황홀한,1.5
즐거운,1.1
행복한,1.2
지루한,-1.0
실망스러운,-1.3
불쾌한,-1.4
끔찍한,-1.5
혼잡한,-1.1
수월하다,0.9
편하다,1.0
아름답다,1.2
멋있다,1.3
멋지다,1.3
신나다,1.3
안전하다,1.0
유용하다,1.1
깊다,1.3
맛있다,1.2
설레다,1.4
예쁘다,1.3
아깝다,0.7
행복하다,1.2
저렴하다,1.0
좋다,1.0
만족스럽다,1.3
미치다,-1.6
힘들다,-1.2
잘하다,1.2
다양하다,0.6
빠르다,0.9
진하다,1.3
많다,0.6
많다,-0.8
바쁘다,-1.0
넓다,0.8
재밌다,1.1
아쉽다,-1.0
좋다,-1.1
귀엽다,1.1
편안하다,1.1
재미있다,1.1
즐겁다,1.1
춥다,-1.0
재미있다,-1.1
작다,-0.6
친숙하다,0.8
덥다,-0.8
안되다,-1.2
부족하다,-1.0
불쌍하다,-1.3
기묘하다,-1.1
시급하다,-1.3
쏠쏠하다,0.9
불편하다,-1.1
어렵다,0.6
신기하다,1.1
친절하다,1.1
특별하다,1.3
알차다,1.3
좋아하다,1.0
충분하다,0.9
슬프다,-1.2
화려하다,1.4
완벽하다,1.8
든든하다,1.3
흥미롭다,1.0
괜찮다,0.8
놀랍다,1.4
벅차다,1.4
성숙하다,1.1
따뜻하다,1.0
쌀쌀하다,-0.9
들뜨다,1.1
길다,0.9
엄청나다,1.4
엄청나다,-1.4
다행하다,1.1
생생하다,1.1
깔끔하다,0.9
지루하다,1.3
덥다,1.1
불편하다,0.8
스럽다,-1.1
화려하다,-0.9
실망하다,-1.3
예쁘다,-1.2
시원하다,1.1
아기자기하다,1.1
더럽다,-1.4
무섭다,-1.4
평화롭다,1.3
느끼하다,-1.2
부드럽다,1.0
착하다,1.0
확실하다,1.1
미치다,1.6
약하다,-0.9
좋아하다,-1.0
저렴하다,-1.0
가볍다,0.9
조화롭다,-1.3
명확하다,-1.1
상쾌하다,1.2
좁다,-0.9
거뜬하다,1.1
아쉽다,0.7
소중하다,1.4
편리하다,1.1
훈훈하다,1.1
건강하다,1.1
개운하다,1.2
무겁다,0.8
맑다,0.9
어설프다,-1.0
손쉽다,0.9
달콤하다,1.1
넘치다,1.3
아프다,-1.4
차갑다,-1.1
안타깝다,-1.2
진정하다,1.3
같다,-0.4
근사하다,1.3
필요하다,0.8
어마어마하다,-1.4
힘드다,-1.2
조용하다,0.8
뿌듯하다,1.3
참신하다,1.3
흔쾌하다,1.2
반갑다,1.1
기쁘다,1.1
신선하다,1.1
가득하다,1.2
황당하다,-1.3
어렵다,-1.2
높다,-1.0
귀찮다,-0.9
재미없다,-1.3
솔직하다,0.9
뭉클하다,1.4
까맣다,-1.4
대견하다,1.4
차분하다,0.9
쾌적하다,1.1
딱이다,1.4
이쁘다,1.2
재밌다,-1.1
짧다,-0.8
독특하다,0.9
멀다,-0.8
적당하다,0.8
새롭다,0.9
청량하다,1.3
드넓다,1.1
듬성하다,-0.9
만족하다,1.2
솔직하다,-0.9
괜찮다,-0.5
싱그럽다,1.2
실하다,1.1
혼잡하다,-1.2
애매하다,-0.7
실하다,-1.3
위험하다,-1.4
활기차다,-1.2
청량하다,-1.3
비싸다,0.6
색다르다,1.1
서운하다,-1.2
넓다,-0.6
싱싱하다,-1.1
멀다,0.4
강하다,-1.2
완전하다,-1.2
맑다,-1.1
간단하다,-0.6
흐뭇하다,1.1
깜찍하다,1.1
자유롭다,1.2
근엄하다,0.6
스럽다,0.7
헷갈리다,-0.8
자세하다,0.9
무겁다,-1.1
미안하다,-1.2
호젓하다,0.9
안되다,1.4
두근거리다,1.3
뜨겁다,1.3
심하다,-1.5
시원하다,-1.4
맛깔나다,1.3
구수하다,1.0
안쓰럽다,-1.2
가득하다,-1.2
싱싱하다,1.1
우중충하다,-1.2
한산하다,-0.8
환하다,1.1
훌륭하다,1.4
산뜻하다,1.1
친근하다,1.0
흥겹다,1.2
기대하다,1.1
따뜻하다,-1.1
위험하다,1.4
실패하다,-1.5
아름답다,-1.2
쎄다,-1.3
시큼하다,-0.9
치열하다,-1.3
정겹다,1.3
딱좋다,1.4
길다,-0.8
쉽다,0.8
잘생기다,1.3
멋있다,-1.3
인하다,-1.2
부럽다,0.9
소소하다,0.8
반하다,1.4
불가하다,-1.4
어이없다,1.3
귀하다,1.4
다정다감하다,1.4
유익하다,1.1
으스스하다,0.9
어둡다,-1.1
으스스하다,-1.3
완전하다,1.4
은은하다,0.8
값지다,1.4
풍부하다,1.1
다정하다,1.3
야속하다,-1.4
유쾌하다,1.2
대단하다,1.4
사랑스럽다,1.4
느리다,-1.0
아리다,-1.4
덜하다,0.8
엄격하다,-0.9
시끄럽다,1.0
고소하다,1.1
빠르다,-0.9
잔잔하다,0.8
생생하다,-1.3
걱정스럽다,-1.2
쌀쌀하다,0.6
매끄럽다,-0.9
자잘하다,-0.6
미끄럽다,-1.2
지저분하다,-1.2
아리다,1.3
묵직하다,1.3
화창하다,1.1
특별하다,-1.1
