phrase,score
꿀잼,1.5
핵잼,1.5
존잼,1.5
개꿀잼,1.5
인생 공연,1.5
인생 맛집,1.5
인생 축제,1.5
눈이 호강,1.5
귀가 호강,1.5
입이 호강,1.5
귀가 녹는다,1.5
입에서 녹는다,1.5
가성비 갑,1.3
가심비 최고,1.4
기대 이상,1.3
역대급,1.5
취향 저격,1.4
엄지척,1.3
강력 추천,1.4
두 번 가세요,1.5
또 가고 싶다,1.4
후회 안 함,1.5
돈이 안 아깝다,1.5
혜자스럽다,1.4
감동의 도가니,1.5
노잼,-1.5
핵노잼,-1.5
최악,-1.5
바가지,-1.5
돈 아깝다,-1.5
시간 아깝다,-1.5
돈 버렸다,-1.5
찬물을 끼얹다,-1.5
기대 이하,-1.3
실망,-1.4
다시는 안 가,-1.5
두 번 다신 안 가,-1.5
지고,1.6
안성맞춤,1.4
뻥,1.4
역,1.5
굿굿,1.3
삼조,1.5
꿀맛,1.5
킹,1.5
저격,1.4
인산인해,-1.3
강추,1.5
순삭,1.4
짱,1.5
만빵,1.5
대감,1.4
꿀잠,1.5
존맛,1.5
개이득,1.6
바가지,1.4
노맛,-1.5
팅,-1.3
